 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  27. 1.2022    Time:  16:13:57
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.036     0.430       0.0   0.730E+03     1.000     0.000     1.000     1.000     1.000
    2     10.00     0.036     0.430       0.0   0.730E+03     1.000     0.000     1.000     1.000     1.000
    3     20.00     0.036     0.430       0.0   0.730E+03     1.000     0.000     1.000     1.000     1.000
    4     30.00     0.036     0.430       0.0   0.730E+03     1.000     0.000     1.000     1.000     1.000
    5     40.00     0.036     0.430       0.0   0.730E+03     1.000     0.000     1.000     1.000     1.000
    6     50.00     0.036     0.430       0.0   0.730E+03     1.000     0.000     1.000     1.000     1.000
    7     60.00     0.036     0.430       0.0   0.730E+03     1.000     0.000     1.000     1.000     1.000
    8     70.00     0.036     0.430       0.0   0.730E+03     1.000     0.000     1.000     1.000     1.000
    9     80.00     0.036     0.430       0.0   0.730E+03     1.000     0.000     1.000     1.000     1.000
   10     90.00     0.036     0.430       0.0   0.730E+03     1.000     0.000     1.000     1.000     1.000
   11    100.00     0.036     0.430       0.0   0.730E+03     1.000     0.000     1.000     1.000     1.000
end
